model,dataflow,array,layer,avf,std_avf
VGG-16,OS,64x64,block2_conv2,0.821050166325333,0.005586047849311956
VGG-16,OS,64x64,block3_conv1,0.7858304755783379,0.007977127529523443
VGG-16,OS,64x64,block3_conv2,0.829826476372442,0.006768493969061733
VGG-16,OS,64x64,block3_conv3,0.7995188098387503,0.0026299546064419495
VGG-16,OS,64x64,block4_conv1,0.7077112130915393,0.012069803686210032
VGG-16,OS,64x64,block4_conv2,0.7205029064488677,0.0019033435976780193
VGG-16,OS,64x64,block4_conv3,0.7016750999081212,0.002681832977586026
VGG-16,OS,64x64,block5_conv1,0.5490022051811825,0.005305484888661818
VGG-16,OS,64x64,block5_conv2,0.5527742597522427,0.0014070602915584227
VGG-16,OS,64x64,block5_conv3,0.548307567590238,0.004470694661952061
VGG-16,OS,64x64,fc1,0.011017413157859859,9.60307586221205e-05
VGG-16,OS,64x64,fc2,0.012150544501883466,0.0003024724303027987
VGG-16,OS,64x64,predictions,0.011867502548575616,0.00017282650597579756
VGG-16,OS,128x128,block1_conv1,0.13505339851954604,2.7755575615628914e-17
VGG-16,OS,128x128,block1_conv2,0.3381631821350031,0.004364652271090719
VGG-16,OS,128x128,block2_conv1,0.6819158233700109,0.0037916768910427816
VGG-16,OS,128x128,block2_conv2,0.7614761350619551,0.005077502952646287
VGG-16,OS,128x128,block3_conv1,0.7160255188441734,0.0071188462656589045
VGG-16,OS,128x128,block3_conv2,0.7814083305288588,0.006307521028834024
VGG-16,OS,128x128,block3_conv3,0.753164788483914,0.002450839737884997
VGG-16,OS,128x128,block4_conv1,0.634519887321569,0.010697587610161756
VGG-16,OS,128x128,block4_conv2,0.656878609690368,0.001725196202989403
VGG-16,OS,128x128,block4_conv3,0.6398130307826287,0.002430821253517987
VGG-16,OS,128x128,block5_conv1,0.5390262292184052,0.005181412083939391
VGG-16,OS,128x128,block5_conv2,0.5427100714205644,0.0013741551150381036
VGG-16,OS,128x128,block5_conv3,0.5383478362565537,0.004366144062448643
VGG-16,OS,128x128,fc1,0.005498029446757883,4.789350803301514e-05
VGG-16,OS,128x128,fc2,0.00600293408122188,0.00014894421473233955
VGG-16,OS,128x128,predictions,0.005864691470659928,8.51334358524144e-05
VGG-16,OS,256x256,block1_conv1,0.05793225238464951,0.0
VGG-16,OS,256x256,block1_conv2,0.1508387383568675,0.0018698678074135868
VGG-16,OS,256x256,block2_conv1,0.30653625612236024,0.0016425322649089274
VGG-16,OS,256x256,block2_conv2,0.3559220271285666,0.002326913021975456
VGG-16,OS,256x256,block3_conv1,0.6107485294861619,0.005831975345029149
VGG-16,OS,256x256,block3_conv2,0.7001335431551707,0.005536717346085336
VGG-16,OS,256x256,block3_conv3,0.6753414721592471,0.0021513375583198744
VGG-16,OS,256x256,block4_conv1,0.5242063154351246,0.008639836326035688
VGG-16,OS,256x256,block4_conv2,0.5570705531974924,0.0014462758401988605
VGG-16,OS,256x256,block4_conv3,0.5427640445056099,0.0020378192606227037
VGG-16,OS,256x256,block5_conv1,0.5204115077599841,0.00494989782317023
VGG-16,OS,256x256,block5_conv2,0.5239307496581322,0.0013127555389213462
VGG-16,OS,256x256,block5_conv3,0.5197634265437591,0.004171057356613627
VGG-16,OS,256x256,fc1,0.0027384184817635373,2.382580604215126e-05
VGG-16,OS,256x256,fc2,0.002932320994215889,7.228124785275444e-05
VGG-16,OS,256x256,predictions,0.0028662660728252663,4.1342128802898636e-05
VGG-16,OS,512x512,block1_conv1,0.025501908269027245,0.0
VGG-16,OS,512x512,block1_conv2,0.06326804293813312,0.0007268094868816287
VGG-16,OS,512x512,block2_conv1,0.12804400324729043,0.0006405242704472202
VGG-16,OS,512x512,block2_conv2,0.15607292607512158,0.0009827434272587684
VGG-16,OS,512x512,block3_conv1,0.2618001427495891,0.0024057235328720614
VGG-16,OS,512x512,block3_conv2,0.3087855198581012,0.002393797455375504
VGG-16,OS,512x512,block3_conv3,0.2980666782135134,0.0009301299038501626
VGG-16,OS,512x512,block4_conv1,0.4675600517909129,0.007421743369277069
VGG-16,OS,512x512,block4_conv2,0.5214149167706442,0.0013276339745418966
VGG-16,OS,512x512,block4_conv3,0.5082820091547565,0.001870651510023527
VGG-16,OS,512x512,block5_conv1,0.2507440791227575,0.0023557191559649125
VGG-16,OS,512x512,block5_conv2,0.25241893097831203,0.0006247570112781424
VGG-16,OS,512x512,block5_conv3,0.25043564905203236,0.001985059099525007
VGG-16,OS,512x512,fc1,0.0013587719490995743,1.179376933720534e-05
VGG-16,OS,512x512,fc2,0.0014027778719882787,3.413237566825859e-05
VGG-16,OS,512x512,predictions,0.0013724461646455331,1.9546414542828553e-05
